Product_ID,Name,Width,Height,Depth,Weight (lbs),lbs,oz
B-3,Papa Nicholas (Paper Bound),5 1/4,7 3/4,9/16,0.625,0,10
B-4,Against False Union,5-1/2,8,5/8,0.60625,0,9.7
B-9,Ladder of Divine Ascent--BOOK,6 1/8,9 3/4,7/8,1.4125,1,6.6
B-10,Psalter,6-1/4,9-3/4,1,1.6875,1,11
B-14,A Lenten Cookbook,5-1/2,8-1/2,5/8,0.80625,0,12.9
B-15,Proseuchetarion,4-3/4,6-1/2,9/16,0.369,0,5.904
B-16,Seraphim's Seraphim,5,7-3/4,9/16,0.5,0,8
B-17,Selected Byzantine Hymns--Book,8 3/4,11,1/2,1.04,1,0.64
B-18,Lamentations,5-3/4,9,1/4,0.31875,0,5.1
B-20,Life of St Maximus,5-1/4,7-7/8,3/8,0.3375,0,5.4
B-23,Ascetical Homilies 2nd Edition,6.125,9.75,1 11/16,2.54375,2,8.7
B-24,Communion Prayers,7/16,4 7/8,3/8,0.15,0,2.4
B-25,Prayer Book,5,6 3/4,1 1/16,0.9,0,14.4
B-26,Pentecostarion,10 1/2,14 1/4,15 /16,3.5875,3,9.4
B-29,Greek Gospel,3-11/16,5-1/4,7/8,0.4,0,6.4
B-30,Elder Moses of Optina,5 1/4,7-3/4,1 3/16,1.1,1,1.6
B-31,The Great Horologion,8 1/4,11 13/16,2 5/16,2.175,2,2.8
B-32,Book for St Xenia Canticle/Canon,5-1/2,8-1/2,1/8,0.2125,0,3.4
B-33,The Struggle,6,9,3/4,1.2375,1,3.8
B-34,"One Lord, One Faith",8 13/16,11,3/8,0.86875,0,13.9
B-35,Suppl Canon Quick-to-Hear,6,9,1/8,0.144,0,2.304
B-36,Guide to Byz Iconography vol 2,6,9,3/8,0.719,0,11.504
B-37,Holy Grt Mon Vatopaidi,10,13-1/2,3,13.925,13,14.8
B-40,Daily Commemoration Cards,4,6,2 5/16,1.444,1,7.104
B-42,10 Homilies on Beatitudes,5-1/2,8,1/4,0.294,0,4.704
B-43,Megalynaria of the Gospels,5 1/2,8 1/2,1/4,0.3,0,4.8
B-44,Supplicatory Canon to St George,6,9,1/8,0.131,0,2.096
B-45,Menaion Set,14 1/2,11,10 3/4,43,43,0
B-46,Elder Ieronymos of Aegina,5 1/4,7 3/4,13/16,0.9375,0,15
B-47,Pocket Psalter,4 3/8,6-1/2,3/4,0.5,0,8
B-49,St Symeon of Emesa,4 1/4,6 1/2,9/16,0.375,0,6
B-50,Pocket Book of Hours,4 1/4,6 1/2,5/8,0.4125,0,6.6
B-51,Holy Fire,6 7/8,9 3/4,3/4,1.6875,1,11
B-52,Mystagogy of the Holy Spirit,7 1/4,10 1/4,3/4,1.4875,1,7.8
B-53,Holy Week,10 1/2,14 1/4,5/8,2.275,2,4.4
B-54,"Holy Week & Pascha, Bilingual",4 11/16,6 13/16,2 1/16,1.606,1,9.696
B-56,Life of St. John of Kronstadt,5 1/4,7 3/4,7/8,0.919,0,14.704
