Order_Number,Gross Volume,Net Volume
36446,361.259765625,100.775390625
36443,163.875,57.9999999975
36467,361.259765625,25.184090625197
36442,361.259765625,64.6875
36441,361.259765625,269.5
36466,590.625,219.54296875
36462,590.625,264.0
36479,1897.4999999999998,238.4375
36450,360.0,74.453125
36480,707.4375,391.5625
36489,181.43999999999997,53.3750000025
36483,3515.0,533.203125
36500,221.76,119.25
36520,960.0,250.36328125
36536,361.259765625,117.45394737
36499,361.259765625,82.35
36514,361.259765625,108.2499999975
36518,361.259765625,264.0
36507,707.4375,305.44062499750004
36512,707.4375,135.7250000025
36509,590.625,126.75
36508,590.625,118.041015625
36497,82.6669921875,2.4218480378566074
36539,361.259765625,89.3109375
36526,330.75,83.7
36540,361.259765625,71.3431640625
36461,707.4375,109.27000003500001
36470,707.4375,181.88500003500002
36475,4368.0,624.607968715
36478,3024.0,773.2499999400001
36487,204.75,64.7109375
36444,707.4375,168.4489473675
36484,707.4375,108.045
36535,878.4,119.859375
36492,707.4375,368.19333334500004
36502,6390.0,663.75
36555,361.259765625,106.8046875
36542,361.259765625,116.6249999975
36594,707.4375,118.090000035
36558,361.259765625,163.125
36544,361.259765625,112.9125
36605,361.259765625,173.67578125
36599,361.259765625,182.25
36556,361.259765625,162.796875
36600,179.55,19.1508333345
36557,187.5,52.25390625
36511,900.375,353.85937499249997
36549,111.54,53.247047488467004
36575,900.375,336.07934373
36596,412.5,209.65
36613,531.36,138.125
36591,768.0,196.3828125
36572,768.0,106.8046875
36616,361.259765625,229.46894531249998
36630,707.4375,151.583984375
36626,1300.0,415.00000001250004
36624,361.259765625,66.0
36652,180.0,60.9375
36638,960.0,219.54296875
36658,238.0,103.781982421875
36657,768.0,196.3828125
36623,280.0,107.85
36646,768.0,188.671875
36643,400.0,93.046875
36621,420.0,171.125
36653,707.4375,408.21484375
36627,590.625,209.25
36645,361.259765625,229.7119140625
36642,590.625,102.8750000025
36639,178.125,53.9501953125
36633,149.625,59.8749999975
36669,768.0,297.88134765625
36677,422.5,73.318359375
36637,361.259765625,172.125
36667,361.259765625,171.73125
36664,1040.0,261.39296875
36663,12.8,54.323486328125
36674,105.0,41.85
36683,590.625,330.0
36694,361.259765625,89.3593749975
36693,342.0,52.25390625
36691,41.6,35.859375
36692,94.5,10.1689453125
36685,225.0,56.8749999975
36687,2184.0,988.3125000225
36709,187.5,52.25390625
36706,420.0,63.984375
36707,189.0,42.65625
36697,361.259765625,173.85
36718,167.4,21.8203125
36719,54.0,15.50390625
36728,82.6669921875,10.1689453125
36735,55.25,17.265625
36725,125.0,60.9375
36721,361.259765625,121.2079015575
36724,90.0,19.436666665500002
36717,707.4375,349.86000010500004
36747,590.625,218.0000000025
36739,590.625,236.57046875
36746,590.625,166.9306640625
36726,590.625,137.843750005
36749,2717.0,692.62109375
36744,252.0,66.0
36712,361.259765625,125.800537111875
36716,900.375,363.28125
36722,352.0,129.88125
36737,882.0,112.73828125
36640,750.0,106.11737084412229
36740,39.375,25.3125
36720,565.25,68.75
36738,710.125,274.624999995
36736,405.0,173.85
36741,118.75,50.2734375
36713,250.0,29.7500000025
36729,180.0,29.05078125
36688,82.875,17.0275
36754,187.5,48.125
36770,237.5,40.5
36758,361.259765625,109.7499999975
36559,361.259765625,110.25
36795,590.625,228.3750000075
36784,1785.0,698.11328125
36786,4343.625,1961.5908203125
